"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"1-METHYL-L-HISTIDINE",0.0447712380894004,0.0159795385551678,-0.0153783761207528,-0.00107223456307366,-0.0637008930303899,0.00897833706634226,0.0220227948989325,-0.0237628246049999,-0.0322078527877075,0.0761611400528676,-0.0512504751500207,-0.0180052915411537,0.0526526881934226,-0.0608233188188945,0.041739822560809,-0.0024258653744227,0.104989968199403
"1-METHYLADENOSINE",-0.0434722491961167,-0.00239512693269966,-0.0410050237780718,0.215029539988335,0.0643454099093868,-0.0342119322091092,0.0599950910728126,0.125513083348258,-0.035425832281699,0.00833645855327312,-0.0230858202381345,0.00220662118227345,0.0313129976521681,-0.186513890331898,-0.0115553887490816,-0.117798703117988,0.0690831723228841
"3-HYDROXYBENZOATE",0.0367685812747134,0.059403827108333,0.0715210927359975,0.0790009377721726,0.0113345103532784,-0.075900436437084,0.0567532607589018,0.124217434030319,0.28887936144741,0.0729886534837153,0.0815327714525741,0.118727288611619,0.0584504716666371,0.116769884134645,0.190720561334774,-0.114440522683523,-0.25860723079651
"3-NITRO-L-TYROSINE",0.0822908827244931,-0.0961022834642261,-0.2735779695641,0.274472306910105,0.0765121676287933,-0.115654601417997,-0.250346029114383,-0.00364993153763952,0.0156333341378172,0.14552616780406,0.442687176744475,-0.155751930320177,-0.0194990451822235,0.0463844670080692,-0.0199669722080568,0.114799178160581,0.144325635555142
"4-GUANIDINOBUTANOATE",-0.0165762322034911,0.0391208403888762,0.0218663850784816,0.0839313183105158,-0.0535717836144711,-0.0109637349711955,-0.0106163049875333,-0.00898820183393272,0.00249246758931027,0.0539378294090271,-0.0246668342844596,-0.0267083784765401,0.054583377346091,0.168851882759353,0.0152162095569432,-0.0259899107292386,0.0554003648425747
"4-HYDROXYBENZOATE",0.023751403981331,0.173379913646794,0.24329578913753,0.110232014938572,-0.0447536674499033,0.00364001640831935,-0.0977400551136405,0.0881515465466766,0.118650411778797,-0.0142381621179856,-0.0104219506962437,-0.0194122796185665,0.117217010503999,0.0141387278421658,-0.0729557913638618,0.113498463883553,0.0818644053632543
"4-IMIDAZOLEACETATE",0.100297424410796,0.0926638755823651,0.166058649556102,0.128026440868536,-0.0452342514047266,-0.06508032121238,-0.0149614974421107,0.00844769300023069,0.170499281582545,-0.0657016452155737,0.0319920908372654,0.0584649061287447,0.155506924260246,0.00280787299639946,0.0221180195472241,-0.0299408244658581,0.0109299981227871
"5-HYDROXYLYSINE",-0.0178543888347909,-0.0965104840764255,-0.112468459167661,0.0552622118842052,0.0212720811911391,0.062603153042181,-0.0846079260526486,0.0617932304171617,-0.000104779744194085,0.108835629108111,-0.197549166666873,0.0750081417168486,-0.231276343693974,-0.0300009707685887,-0.0190468331694062,-0.104378094089614,-0.0109631875581088
"6-CARBOXYHEXANOATE",0.0548976370355394,-0.0444979725305311,-0.0906214131856677,0.0257654564503348,-0.0837028729860778,0.082008927958059,0.0460847347240653,0.104306850390056,0.000586719225523762,-0.00452399103845192,-0.0743440528474748,-0.0303666311613942,0.00318712148727056,0.0101604279006348,0.0339636892828368,-0.0911414592247655,0.0367522332730747
"ADENINE",0.258347871567757,-0.0786224156116712,0.042875279318,0.0334700642605308,0.12128271244462,-0.00697632252546636,-0.0196003959377541,-0.0257933365703248,0.0860345691591232,0.0284795289597053,-0.036431082567477,0.0057855084097316,0.0244089839949675,-0.0263069740403363,-0.280240621894473,-0.0132426793799105,-0.0920536912855907
