"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"1-METHYL-L-HISTIDINE",0.040136922137616,-0.00571746933734576,4.44076583936602e-05,-0.0681502670714946,0.0085546688127355,-0.022086130938895,-0.0226976515292177,-0.0332106554143916,0.0759517958313536,-0.0513701027140438,0.0103152238692222,0.051757533308296,-0.0587721630901259,-0.0467512065876041,-0.00251029702857889,0.110195883865139
"1-METHYLADENOSINE",-0.0452018474887273,-0.0388200425153897,0.215029708482193,0.0649376699347168,-0.033441814446025,-0.0597613210267675,0.124496249019378,-0.0310164776931203,0.00866088207223352,-0.0171912333248843,-0.0102955964452062,0.0307740370514051,-0.185170941697883,0.00156381309941931,-0.118258822409866,0.0895191133323916
"3-HYDROXYBENZOATE",0.029948410303036,0.0911608889971808,0.0795985385007647,0.00566128894402416,-0.0706816738905005,-0.0554145989419418,0.110705900531852,0.29770377749797,0.0737132753286562,0.0942463304755584,-0.112133506816691,0.0603558336184145,0.119541117934886,-0.183388882429981,-0.11339824882987,-0.127165757242842
"3-NITRO-L-TYROSINE",0.0798666932971573,-0.286223421787194,0.276216772608116,0.0663369360024563,-0.104930628778016,0.25233830988044,-0.0126735391495092,0.0241172573167267,0.147649991942089,0.429026346896452,0.194220108406092,-0.0210000212484368,0.0472263018273259,0.0162816283888411,0.114410849807983,0.140341394802602
"4-GUANIDINOBUTANOATE",-0.0215926456749349,0.0368139620275628,0.0847439175351083,-0.0557487578343788,-0.0114105915355761,0.0106616796645764,-0.00883976001361456,0.00195626893905052,0.0537645471484393,-0.026468872843977,0.0222834311092601,0.053638325295303,0.169832680216465,-0.0134927685186071,-0.0259520177271222,0.0050228708281423
"4-HYDROXYBENZOATE",0.00766088121439768,0.295283532596041,0.111255032062256,-0.052186494392022,0.00611827676702967,0.0979412149921913,0.0840654378870268,0.12160135536074,-0.0143104409376034,-0.0104122283524633,0.0158880726855609,0.11637484356977,0.0143653257291181,0.0666043353242697,0.112791082749164,0.128295434024205
"4-IMIDAZOLEACETATE",0.0928111169672341,0.192401731287685,0.128391537537788,-0.0475893273529844,-0.0629487662641868,0.0157983953752675,0.00181736514298071,0.17274372805742,-0.0655898387918578,0.0359459309542989,-0.0517329004637117,0.156629698118262,0.00297317079410174,-0.0212804363546847,-0.0298283817456348,-0.0742444502413781
"5-HYDROXYLYSINE",-0.00685019264914428,-0.143410102285996,0.0542509146209309,0.028680649718472,0.0588324805701161,0.0835152372951661,0.0661936041344172,-0.00253108690481744,0.107916451288204,-0.191600638586683,-0.0934429019668235,-0.23016038249199,-0.031869954485195,0.0231509676173146,-0.104151526519829,0.062400258314358
"6-CARBOXYHEXANOATE",0.0566274729627225,-0.0992740515640305,0.0265484020798715,-0.0842192031653114,0.0772850201109081,-0.0472731963872225,0.107412852542899,0.000413302666696148,-0.00497969259719208,-0.0766766163086255,0.0216375794846888,0.00221089043022849,0.0114493120186797,-0.0352358285538099,-0.0910524334268405,-0.0686390973633612
"ADENINE",0.270005860475377,0.00913522804461002,0.0311035915031309,0.128933926750839,-0.00587956010780119,0.0197202840329666,-0.0265468855815706,0.0838672678523054,0.0279198124581694,-0.0413623312420766,-0.00155107418385737,0.0252334526145256,-0.0323571946414218,0.277974841752636,-0.0144231782402948,-0.238235024696769
