"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"1-METHYL-L-HISTIDINE",0.0207927707217006,-0.0809034792817331,0.0512887944147002,-0.05799919918997,0.00889266477281019,0.0282709086934366,0.00035708890307654,-0.0274574085658244,0.00384385990315121,0.0146267754089204,0.0389819552986365,0.123038638710187,-0.0686726714872475,-0.0577252242312362,0.0780434453789051,0.0990468835089015,-0.0748856779882693
"1-METHYLADENOSINE",-0.589815492643525,-0.0330833702299223,0.0551491793483166,0.049656443364893,-0.109536724095708,-0.0220878391607764,-0.108220832800005,-0.0113849772304218,-0.0351127441548341,0.0177557549766016,-0.0119729617649818,0.221854170940126,0.0373482588717181,-0.105555478386183,0.0338907126996878,0.0316560658514521,-0.0514898930294127
"3-HYDROXYBENZOATE",0.0229152326408822,-0.0415832639203808,0.0225296751799325,-0.0400052122292494,-0.0712408257521206,0.114305733523121,0.0441473186852058,-0.0322879623126989,-0.0531379512389824,0.0801347480476355,0.0109998706140217,0.117804763694378,0.0530832198128101,-0.0834406205993204,-0.0719014006496025,0.0993781734880132,0.0691729172889601
"3-NITRO-L-TYROSINE",0.366074434614771,0.10837295170827,-0.105348049847638,0.15083638392969,-0.254067647360035,-0.164930978573579,-0.191068182455804,0.210750765681209,0.052369405740158,-0.0285629362781758,-0.116826923515043,0.286651930121118,-0.00932404656875719,0.022181501914488,0.169288378838447,0.0216350508178107,-0.065187113179515
"4-GUANIDINOBUTANOATE",-0.132413063036014,0.0145951163840749,-0.192064021433387,-0.177884549043896,0.0878381639693485,0.2659428569579,-0.266685131610897,-0.0192977633143906,0.0898420712531604,-0.0602081488674827,-0.112666803642853,0.0150662889976646,0.0563809299853585,0.0730512270122223,-0.30876660670374,0.0802597453333837,-0.0398786463749939
"4-HYDROXYBENZOATE",0.00349285377525368,-0.0428053873897671,0.0127118454313323,0.0325791582168486,-0.0729812644457407,0.101705941588164,0.0107558494846815,-0.0546133153637594,-0.0855575526588487,-0.0197322998679621,-0.0130897286600808,-0.0311073591294102,-0.00457138312241561,-0.0296016362110646,-0.140598412685548,0.0452626565020269,0.00543566632268195
"4-IMIDAZOLEACETATE",0.0285285075819321,-0.0364205462305921,0.04538879162292,-0.0505182660388097,0.147186579744304,-0.0357940194627091,-0.189833760422865,0.212741544502496,0.0672822838650774,-0.252152156801891,0.115629195797303,-0.0696725615109612,-0.119188180673088,-0.107720534080358,-0.143361136959972,-0.014985354138148,0.162270684709113
"5-HYDROXYLYSINE",0.0336410759836728,0.0290733823374631,-0.0348383301142839,-0.110001924922146,-0.0529764432519496,-0.0271417045841633,-0.036289067969603,0.0874137745888326,0.0572138814893422,-0.015618796043631,0.0878765824228753,-0.138027919428738,-0.0683472812282432,-0.04190384129678,0.0908953215452286,0.0937045063771125,0.168568261763229
"6-CARBOXYHEXANOATE",0.0332535487163628,-0.095829766123865,0.025989797425709,-0.019946851848785,-0.0232766016756567,0.00486095957941692,0.0407201434168519,-0.0909270204267983,-0.0657403626567032,0.0685071652511355,-0.0540148852524203,0.0238407316554546,0.00303875078980459,-0.0198879352523812,0.0592092817425679,0.0485167168385855,-0.0831049389528301
"ADENINE",0.0180753892694188,-0.129294717434596,0.0846261426750838,0.0752913101581741,-0.0225410396403422,0.0479866300886498,-0.180091456862315,0.0298879719655059,-0.0640089634991527,0.0320189989662348,-0.00239961775243089,-0.0703563887183933,0.105204399481784,0.0305407905270489,0.0909065160130287,0.0423867505922185,0.0316036807498263
"ADENOSINE",0.0297446730443591,-0.260734448206326,-0.289456503311029,0.0948101720659202,0.0569219757838712,-0.0425178569901458,0.290622675249257,0.104942666317149,0.0108674028341321,0.1227666577488,0.177386411221392,-0.0572713865111045,0.0924208739304931,0.0933831648214789,-0.202364219096953,0.0225369537042843,-0.0406664520003105
"AGMATINE SULFATE",0.0550613593998246,0.0546552079567288,0.041621690598035,-0.0055135784813443,-0.0327749332125832,-0.0309594639665815,0.00663105732680572,0.0330876885666207,0.0348165469910385,0.148201169660511,-0.0226033915926234,-0.0554697184621015,0.0115701414035003,-0.0394184472748554,-0.0406007287088405,0.0844546520203061,-0.0488888829773422
"ALANINE",0.0360673831271098,0.00352671036397806,-0.00110877708305327,0.0568926995016038,0.0192217264193583,0.0509493403730958,-0.237613767906171,0.0585011316858739,-0.0990200364361006,0.0206160595631903,0.0806498287998855,0.0151998969147833,0.161677752113422,0.198495608760888,0.0977088464795458,0.0320179873761766,-0.0233149583188882
"AMINOADIPATE",0.00482545717086036,-0.109969214998928,0.12889402280532,-0.0485809174446813,-0.0828312075752976,-0.00424400151255768,-0.0833769538924543,-0.0568889086081439,-0.0381975204392253,-0.0319529425539676,0.109969969893878,-0.0924345178607542,0.0245903580740732,-0.12034639840792,0.162382867792986,-0.00322520555374939,-0.00907061687170608
"AMINOISOBUTANOATE",0.134446666971301,0.0120905837624577,-0.000440501355755641,-0.0387396307563939,0.0012832614852889,-0.153348480323036,-0.0244025950977222,-0.0856445194325259,-0.0842537337853433,-0.00609436385970455,-0.184366225336217,0.165881347641839,0.0618025074240498,-0.109311144456984,0.191415026036325,0.0404966608823919,-0.0844076546740431
"ARGININE",0.0224639382670679,-0.0251370605822091,0.0496318034117446,-0.0215877458022636,0.00107170219551816,0.016453665889604,0.0245155325398411,0.00139513320905761,0.00916269958376698,0.0170896518930833,0.0186359584156413,-0.0179144298845083,-0.025751598332103,0.0210903419847242,0.085417135697412,-0.0490077176828177,0.0125182390158551
"ASPARTATE",0.0106838842743318,-0.022718853060422,0.00242533458032994,-0.18890063192403,0.079614990276799,0.0954221096345316,0.0284946755275784,-0.141414318593077,0.113090327427449,-0.0362254802037315,0.0317142085702998,0.225212026965999,-0.084248847578251,0.0298423128505626,0.0394432849557564,-0.182916395968993,-0.070396948250493
