"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"1-METHYL-L-HISTIDINE",0.0953348456667325,-0.00250249891990375,0.0585085847178543,-0.0704313398253488,-0.0174688667921001,-0.0103525387222885,0.0279075191452691,-0.0351254723207933,-0.020693566978814,0.0805216227877679,0.00220237739428509,-0.0661739617692863,0.0959167993045241,-0.013156574826036,0.00561841116255673,0.047083673030962,0.0108109383625885
"1-METHYLADENOSINE",0.0420818344398731,0.171318048394013,-0.0458010250172115,0.00930294520201983,0.0143671960280068,0.0483879481578679,0.0438477687843531,-0.0776928932968569,0.0531276887273728,0.190736895970396,0.0929079060684904,0.0679715665099603,-0.0562068218305679,-0.0225747837709082,-0.00386718673316868,0.0987342973210628,0.0919033212417867
"3-HYDROXYBENZOATE",0.0856923355849245,0.0356378181509538,0.00875714454765355,0.0306451541161091,0.0157175791012796,0.0496638145459089,-0.0860303464850657,-0.0232781836128426,0.0568308093252683,0.161334149081391,-0.127419854487145,0.0113686479661042,-0.0520756783626243,0.0992096984015509,-0.0120988949165696,-0.0900381050353029,-0.0345682875516155
"3-NITRO-L-TYROSINE",0.0212977053163147,0.476580613200925,0.0511019478701292,0.171796441145547,-0.311621827387827,0.0478285051169556,0.0608322328116761,0.0467096127027142,-0.0956679464534636,-0.0433381889014404,-0.188399408947154,-0.0295974148825182,-0.0482249775893584,0.190534629560429,0.180437362958351,0.0131455662346184,0.186402373075352
"4-GUANIDINOBUTANOATE",-0.00408500712740481,0.0583962481896717,0.0100056198443817,-0.0432121689167285,0.00949263485960844,-0.0049613548765113,0.00502013172459415,-0.104424872668898,-0.0460401129736447,0.0142813500828781,0.00149947654846767,0.0733730867436508,-0.0345668093279062,0.0348815923141022,0.061394743894216,-0.029543563810495,-0.036374171279473
"4-HYDROXYBENZOATE",0.00264403389954226,-0.115063285688576,-0.139359370589831,0.0145815069749369,-0.0401533607631026,-0.0282846099991198,0.056005666351188,-0.0200278353798387,-0.144012028088562,-0.0599548231497633,-0.0589340396506441,-0.0538810655888523,-0.0508460960497303,0.122808849055517,0.0369663626996362,-0.00466364706788745,-0.0612950633542236
"4-IMIDAZOLEACETATE",0.0291944006023035,0.0356122496248963,-0.011420703261407,-0.0139919409151369,0.0645731768884129,-0.0718446557828377,0.0371160335226587,-0.035619183282378,-0.258076582932942,0.0365570091918161,-0.120941639638086,0.0334800103765143,0.00396351712356615,-0.0402187525629375,0.0587618208550198,0.259723321260583,0.0126876776938619
"5-HYDROXYLYSINE",-0.012027948307686,0.138805284291842,0.00390423383044967,-0.014902370295418,0.0519533059511415,0.0812535785313654,-0.174752013414047,0.215720618317677,-0.05313038765825,-0.0331973133085735,-0.112243704266618,-0.035545837722291,0.170008344252063,-0.0343526930456542,0.1210478226922,-0.0982293804291695,0.0270198964677138
"6-CARBOXYHEXANOATE",0.0707881071211278,-3.68118316408199e-05,0.0435639624438078,-0.029933962815299,0.000953607501910864,0.0673416531894364,-0.0437712324589659,-0.0531635847864879,0.0772529801660235,0.0726901073693408,0.0176582466799912,0.0314037506528433,-0.0445665701940025,-0.0650808084301713,-0.0994987876245344,-0.0988921703207719,-0.119453706175854
"ADENINE",0.112159395071626,0.0308722224420552,0.0351113595729767,0.048027930451013,-0.143761234233258,0.0189603929668429,-0.08015002178786,0.0119097868817355,-0.0452494484114647,-0.122079345210166,0.0480364802404835,-0.102197786135709,0.026354794594807,0.0550896855414413,0.11245054616779,0.0736662394893274,-0.21430724986947
