"KEGG.id","Entry.type","KEGG.name","p.score"
"dme00280","pathway","Valine, leucine and isoleucine degradation - ...",0.00199030944625408
"dme00290","pathway","Valine, leucine and isoleucine biosynthesis -...",0.00768979370249734
"dme00970","pathway","Aminoacyl-tRNA biosynthesis - Drosophila mela...",0.00768979370249734
"dme02010","pathway","ABC transporters - Drosophila melanogaster (f...",0.0070898479913138
"dme04150","pathway","mTOR signaling pathway - Drosophila melanogas...",0.0292878393051032
"M00019","module","Valine/isoleucine biosynthesis, pyruvate => v...",0.0071898389431777
"M00036","module","Leucine degradation, leucine => acetoacetate ...",0.00109039087947883
"M00570","module","Isoleucine biosynthesis, threonine => 2-oxobu...",0.00479005609844376
"1.1.1.178","enzyme","3-hydroxy-2-methylbutyryl-CoA dehydrogenase",0.0402868440101339
"1.14.11.1","enzyme","gamma-butyrobetaine dioxygenase",0.030587721679334
"1.2.4.4","enzyme","3-methyl-2-oxobutanoate dehydrogenase (2-meth...",0.0248882374230909
"1.3.8.4","enzyme","isovaleryl-CoA dehydrogenase",0.0189887712631198
"2.1.2.9","enzyme","methionyl-tRNA formyltransferase",0.036587178791169
"2.3.1.168","enzyme","dihydrolipoyllysine-residue (2-methylpropanoy...",0.0272880202678248
"2.3.1.7","enzyme","carnitine O-acetyltransferase",0.0387869797321751
"2.6.1.42","enzyme","branched-chain-amino-acid transaminase",0.000390454216431382
"2.7.1.153","enzyme","phosphatidylinositol-4,5-bisphosphate 3-kinas...",0.0261881197973218
"2.7.10.1","enzyme","receptor protein-tyrosine kinase",0.0476861744480637
"2.7.11.26","enzyme","tau-protein kinase",0.0302877488237423
"2.7.11.31","enzyme","[hydroxymethylglutaryl-CoA reductase (NADPH)]...",0.0271880293159609
"3.1.3.67","enzyme","phosphatidylinositol-3,4,5-trisphosphate 3-ph...",0.0266880745566413
"3.4.22.1","enzyme","cathepsin B",0.038986961635903
"3.4.23.5","enzyme","cathepsin D",0.038986961635903
"4.2.1.18","enzyme","methylglutaconyl-CoA hydratase",0.0022902823018458
"6.1.1.17","enzyme","glutamate---tRNA ligase",0.00588995656894682
"6.1.1.22","enzyme","asparagine---tRNA ligase",0.0336874411871154
"6.1.1.4","enzyme","leucine---tRNA ligase",0.00489004705030766
"6.1.1.5","enzyme","isoleucine---tRNA ligase",0.00578996561708292
"6.1.1.6","enzyme","lysine---tRNA ligase",0.039086952587767
"6.4.1.4","enzyme","methylcrotonoyl-CoA carboxylase",0.00259025515743751
"7.1.2.2","enzyme","H+-transporting two-sector ATPase",0.0403868349619978
"7.6.2.2","enzyme","ABC-type xenobiotic transporter",0.0070898479913138
"7.6.2.3","enzyme","ABC-type glutathione-S-conjugate transporter",0.0070898479913138
"7.6.2.4","enzyme","ABC-type fatty-acyl-CoA transporter",0.0422866630474122
"R00239","reaction","ATP:L-glutamate 5-phosphotransferase",0.0344873688020268
"R00243","reaction","L-glutamate:NAD+ oxidoreductase (deaminating)",0.0331874864277959
"R00245","reaction","L-glutamate gamma-semialdehyde:NAD+ oxidoredu...",0.0422866630474122
"R00248","reaction","L-glutamate:NADP+ oxidoreductase (deaminating...",0.034287386898299
"R00254","reaction","N-carbamyl-L-glutamate amidohydrolase",0.0486860839667028
"R00262","reaction","L-threo-3-methylaspartate carboxy-aminomethyl...",0.0290878574013753
"R00268","reaction","oxalosuccinate carboxy-lyase (2-oxoglutarate-...",0.0268880564603692
"R00372","reaction","glycine:2-oxoglutarate aminotransferase",0.0283879207383279
"R00411","reaction","N-succinyl-L-glutamate amidohydrolase",0.0241883007600434
"R00474","reaction","2-oxoglutarate:glyoxylate succinaldehydetrans...",0.047386201592472
"R00895","reaction","L-cysteine:2-oxoglutarate aminotransferase",0.0359872330799856
"R00942","reaction","tetrahydrofolate:L-glutamate gamma-ligase (AD...",0.0372871154542164
"R01021","reaction","ATP:choline phosphotransferase",0.0465862739775606
"R01088","reaction","L-leucine:NAD+ oxidoreductase (deaminating)",0.00169033659066237
"R01090","reaction","L-leucine:2-oxoglutarate aminotransferase",9.0481360839667e-05
"R01651","reaction","4-methyl-2-oxopentanoate:NAD+ oxidoreductase ...",0.0102895584509591
"R01652","reaction","4-Methyl-2-oxopentanoate + CO2 <=> (2S)-2-Iso...",0.00179032754252627
"R01684","reaction","taurine:2-oxoglutarate aminotransferase",0.0231883912414043
"R01702","reaction","4-methyl-2-oxopentanoate:[dihydrolipoyllysine...",0.00449008324285193
"R02085","reaction","(S)-3-hydroxy-3-methylglutaryl-CoA hydro-lyas...",0.0423866539992762
"R02196","reaction","L-isoleucine:NAD+ oxidoreductase(deaminating)",0.0121893865363735
"R02197","reaction","L-isoleucine:oxygen oxidoreductase (deaminati...",0.0252882012305465
"R02199","reaction","L-isoleucine:2-oxoglutarate aminotransferase",9.0481360839667e-05
"R02237","reaction","7,8-dihydropteroate:L-glutamate ligase (ADP-f...",0.046186310170105
"R02274","reaction","5-aminopentanoate:2-oxoglutarate aminotransfe...",0.0157890608034745
"R02285","reaction","N-formimino-L-glutamate formiminohydrolase",0.0494860115816142
"R02397","reaction","4-trimethylammoniobutanoate,2-oxoglutarate:ox...",0.0196887079261672
"R02433","reaction","L-cysteate:2-oxoglutarate aminotransferase",0.0286878935939196
"R02444","reaction","flavanone,2-oxoglutarate:oxygen oxidoreductas...",0.0420866811436844
"R02619","reaction","3-sulfino-L-alanine:2-oxoglutarate aminotrans...",0.0310876764386537
"R02663","reaction","2-Methylpropanoyl-CoA <=> Branched chain fatt...",0.0231883912414043
"R02700","reaction","5-hydroxy-L-tryptophan:2-oxoglutarate aminotr...",0.0255881740861382
"R02734","reaction","N-succinyl-LL-2,6-diaminoheptanedioate amidoh...",0.0106895222584148
"R02773","reaction","dTDP-4-amino-4,6-dideoxy-D-glucose:2-oxogluta...",0.0142891965255157
"R03009","reaction","(gibberellin-20),2-oxoglutarate:oxygen oxidor...",0.0334874592833876
"R03122","reaction","cyclomaltodextrin dextrin-hydrolase (decycliz...",0.0439865092290989
"R03171","reaction","(S)-3-methyl-2-oxopentanoate:NAD+ 2-oxidoredu...",0.0262881107491857
"R03174","reaction","(S)-2-methylbutanoyl-CoA:enzyme N6-(dihydroli...",0.0366871697430329
"R03175","reaction","(S)-2-Methylbutanoyl-CoA <=> Branched chain f...",0.0086897032211365
"R03189","reaction","5-formyltetrahydrofolate:L-glutamate N-formim...",0.0434865544697792
"R03640","reaction","flavanone,2-oxoglutarate:oxygen oxidoreductas...",0.0424866449511401
"R03651","reaction","L-glutamate:tRNA(Gln) ligase (AMP-forming)",0.0179888617444807
"R03656","reaction","L-isoleucine:tRNA(Ile) ligase (AMP-forming)",0.00928964893231993
"R03657","reaction","L-leucine:tRNA(Leu) ligase (AMP-forming)",0.00808975750995296
"R03737","reaction","(6S)-6beta-hydroxyhyoscyamine,2-oxoglutarate:...",0.0418866992399565
"R03806","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0418866992399565
"R03807","reaction","(gibberellin-19),2-oxoglutarate:oxygen oxidor...",0.0427866178067318
"R03812","reaction","L-hyoscyamine,2-oxoglytarate:oxygen oxidoredu...",0.0323875588128845
"R04001","reaction","3-isopropylmalate hydro-lyase",0.0149891331885632
"R04029","reaction","N6-acetyl-L-lysine:2-oxoglutarate aminotransf...",0.0155890788997466
"R04051","reaction","3-Phosphonopyruvate + L-Glutamate <=> 2-Amino...",0.00838973036554467
"R04097","reaction","3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl...",0.038986961635903
"R04098","reaction","3-Methylbutanoyl-CoA <=> Branched chain fatty...",0.00169033659066237
"R04173","reaction","3-phosphoserine:2-oxoglutarate aminotransfera...",0.0191887531668476
"R04188","reaction","L-3-amino-isobutanoate:2-oxoglutarate aminotr...",0.018788789359392
"R04217","reaction","N2-succinyl-L-ornithine:2-oxoglutarate 5-amin...",0.0244882736156352
"R04225","reaction","(S)-3-methyl-2-oxopentanoate:[dihydrolipoylly...",0.00748981179876942
"R04241","reaction","tetrahydropteroyl-gamma-polyglutamate:L-gluta...",0.0334874592833876
"R04242","reaction","tetrahydropteroyl-poly-gamma-glutamate gamma-...",0.0474861925443359
"R04276","reaction","leucocyanidin,2-oxoglutarate:oxygen oxidoredu...",0.0469862377850163
"R04426","reaction","(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase",0.00968961273977566
"R04438","reaction","dTDP-4-amino-4,6-dideoxy-D-galactose:2-oxoglu...",0.0110894860658704
"R04467","reaction","N6-Acetyl-LL-2,6-diaminoheptanedioate + 2-Oxo...",0.01158944082519
"R04475","reaction","N-succinyl-L-2,6-diaminoheptanedioate:2-oxogl...",0.00948963083604774
"R04529","reaction","UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-gluc...",0.0121893865363735
"R04776","reaction","phenylacetyl-CoA:L-glutamine alpha-N-phenylac...",0.0416867173362287
"R05068","reaction","(R)-2,3-dihydroxy-3-methylpentanoate:NADP+ ox...",0.00728982989504161
"R05069","reaction","(S)-2-aceto-2-hydroxybutanoate:NADP+ oxidored...",0.00608993847267463
"R05070","reaction","(R)-2,3-dihydroxy-3-methylpentanoate hydro-ly...",0.00349017372421277
"R05071","reaction","(S)-2-acetolactate methylmutase",0.0177888798407529
"R05085","reaction","O-phospho-4-hydroxy-L-threonine:2-oxoglutarat...",0.0158890517553384
"R05097","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0333874683315237
"R05207","reaction","Leukotriene E4 + L-Glutamate <=> Leukotriene ...",0.0426866268548679
"R05229","reaction","Deacetylcephalosporin C + Succinate + CO2 <=>...",0.0379870521172639
"R05356","reaction","2-hydroxy-cyclohexan-1-one amidohydrolase",0.0367871606948968
"R05466","reaction","deoxyamidinoproclavaminate,2-oxoglutarate:oxy...",0.0469862377850163
"R05469","reaction","dihydroclavaminate,2-oxoglutarate:oxygen oxid...",0.0482861201592472
"R05507","reaction","6-aminohexanoate:2-oxogutarate aminotransfera...",0.0107895132102787
"R05518","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose ...",0.043686536373507
"R05578","reaction","L-glutamate:tRNA(Glu) ligase (AMP-forming)",0.0171889341295693
"R06322","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0347873416576185
"R06323","reaction","(gibberellin-44),2-oxoglutarate:oxygen oxidor...",0.0458863373145132
"R06332","reaction","Gibberellin A9 <=> Gibberellin A20",0.0468862468331523
"R06336","reaction","(gibberellin-20),2-oxoglutarate:oxygen oxidor...",0.0374870973579442
"R06423","reaction","dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranos...",0.012689341295693
"R06424","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose:...",0.0213885541078538
"R06426","reaction","dTDP-3-amino-3,4,6-trideoxy-D-glucose:2-oxogl...",0.0188887803112559
"R06514","reaction","dTDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-ep...",0.0361872149837134
"R06586","reaction","UDP-3-ketoglucose:L-glutamate aminotransferas...",0.00938963988418383
