Metabolite,MOLECULAR_FORMULA,KEGG ID,CAS,HMDB/YMDB ID
"1,3-DIAMINOPROPANE",C3H10N2,C00986,109-76-2,HMDB00002
10-HYDROXYDECANOATE,C10H20O3,C02774,1679-53-4,-
1-AMINOCYCLOPROPANECARBOXYLATE,C4H7NO2,C01234,22059-21-8,HMDB36458
1-METHYLADENOSINE,C11H15N5O4,C02494,15763-06-1,HMDB03331
1-METHYL-L-HISTIDINE,C7H11N3O2,C01152,332-80-9,HMDB00001
1-METHYLNICOTINAMIDE,C7H9N2O,C02918,1005-24-9,HMDB00699
"2',4'-DIHYDROXYACETOPHENONE",C8H8O3,C03663,89-84-9,HMDB29659
"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,C03212,487-21-8,-
2-AMINOISOBUTYRATE,C4H9NO2,C03665,62-57-7,HMDB01906
2-HYDROXYPYRIDINE,C5H5NO,C02502,142-08-5,HMDB13751
"3,5-DIIODO-L-THYRONINE",C15H13I2NO4,,1041-01-6,HMDB00582
"3,5-DIIODO-L-TYROSINE",C9H9I2NO3,C01060,18835-59-1,HMDB03474
3-AMINO-5-HYDROXYBENZOATE,C7H7NO3,C12107,76045-71-1,-
3-HYDROXYBENZOATE,C7H6O3,C00587,99-06-9,HMDB02466
3-HYDROXYMETHYLGLUTARATE,C6H10O5,C03761,503-49-1,HMDB00355
3-METHOXYTYRAMINE,C9H13NO2,C05587,1477-68-5,HMDB00022
3-METHOXYTYROSINE,C10H13NO4,,300-48-1,HMDB01434
3-METHYL-2-OXINDOLE,C9H9NO,,1504-06-9,-
3-METHYLADENINE,C6H7N5,C00913,5142-23-4,HMDB11600
3-METHYLHISTAMINE,C6H11N3,,36475-47-5,HMDB01861
3-NITRO-L-TYROSINE,C9H10N2O5,,621-44-3,-
4-ACETAMIDOBUTANOATE,C6H11NO3,C02946,3025-96-5,HMDB03681
4-AMINOBENZOATE,C7H7NO2,C00568,150-13-0,HMDB01392
4-GUANIDINOBUTANOATE,C5H11N3O2,C01035,463-00-3 ,HMDB03464
4-HYDROXYBENZOATE,C7H6O3,C00156,99-96-7,HMDB00500
4-IMIDAZOLEACETATE,C5H6N2O2,C02835,3251-69-2,HMDB02024
4-PYRIDOXATE,C8H9NO4,C00847,82-82-6,HMDB00017
4-QUINOLINECARBOXYLATE,C10H7NO2,C06414,486-74-8,-
5-AMINOLEVULINATE,C5H9NO3,C00430,9/2/5451,HMDB01149
5-AMINOPENTANOATE,C5H11NO2,C00431,660-88-8,HMDB03355
